,checking,month,credit_history,purpose,credit_amount,savings,employment_length,installment_rate,sex_marital_status,debtors,resident_length,property,age,installment_plan,housing,num_of_credit,job,liables,telephone,foreign_worker,target
307,0,12,2,6,727,3,3,4,1,2,3,3,33,1,2,1,2,1,1,0,2
308,1,8,2,5,1237,2,2,3,4,2,4,0,24,1,2,1,1,1,0,0,2
309,1,9,2,7,276,2,2,4,1,2,4,0,22,1,0,1,2,1,0,0,1
310,1,48,2,0,5381,1,4,3,3,2,4,3,40,2,1,1,3,1,1,0,1
311,3,24,2,5,5511,3,2,4,3,2,1,2,25,0,2,1,1,1,0,0,1
312,2,24,2,5,3749,2,3,2,4,2,4,2,26,1,2,1,1,1,0,0,1
313,1,12,2,7,685,2,1,2,1,2,3,2,25,2,2,1,2,1,0,0,2
314,2,4,2,7,1494,1,3,1,3,2,2,0,29,1,2,1,2,2,0,1,1
315,0,36,1,5,2746,2,0,4,3,2,4,2,31,2,2,1,1,1,0,0,2
316,0,12,2,5,708,2,2,2,3,1,3,1,38,1,2,1,2,2,0,0,1
317,1,24,2,5,4351,1,2,1,4,2,4,1,48,1,2,1,2,1,1,0,1
318,3,12,4,1,701,2,2,4,3,2,2,2,32,1,2,2,1,1,0,0,1
319,0,15,3,5,3643,2,0,1,4,2,4,1,27,1,2,2,2,1,0,0,1
320,1,30,4,7,4249,2,4,4,1,2,2,2,28,1,2,2,0,1,0,0,2
321,0,24,2,6,1938,2,3,4,2,2,3,1,32,1,2,1,1,1,0,0,2
322,0,24,2,8,2910,2,1,2,3,2,1,3,34,1,1,1,0,1,1,0,1
323,0,18,2,5,2659,0,2,4,3,2,2,2,28,1,2,1,1,1,0,0,1
324,3,18,4,7,1028,2,2,4,4,2,3,0,36,1,2,2,1,1,0,0,1
325,0,8,4,7,3398,2,1,1,3,2,4,0,39,1,2,2,2,1,0,1,1
326,3,12,4,5,5801,1,0,2,3,2,4,1,49,1,0,1,1,1,1,0,1
327,3,24,2,7,1525,0,1,4,4,2,3,2,34,1,2,1,1,2,1,0,1
328,2,36,2,6,4473,2,0,4,3,2,2,2,31,1,2,1,1,1,0,0,1
329,1,6,2,6,1068,2,0,4,3,2,4,2,28,1,2,1,1,2,0,0,1
330,0,24,4,8,6615,2,4,2,3,2,4,3,75,1,1,2,0,1,1,0,1
331,3,18,4,1,1864,3,2,4,4,2,2,0,30,1,2,2,1,1,0,0,2
332,1,60,2,7,7408,3,3,4,4,2,2,1,24,1,2,1,0,1,0,0,2
333,3,48,4,8,11590,3,2,2,4,2,4,2,24,2,0,2,2,1,0,0,2
334,0,24,0,5,4110,2,0,3,3,2,4,3,23,2,0,2,1,2,0,0,2
335,0,6,4,5,3384,2,2,1,2,2,4,0,44,1,0,1,0,1,1,0,2
336,1,13,2,6,2101,2,3,2,4,1,4,1,23,1,2,1,2,1,0,0,1
337,0,15,2,3,1275,1,2,4,4,2,2,2,24,1,0,1,1,1,0,0,2
338,0,24,2,5,4169,2,2,4,3,2,4,1,28,1,2,1,1,1,0,0,1
339,1,10,2,5,1521,2,2,4,2,2,2,2,31,1,2,1,2,1,0,0,1
340,1,24,4,1,5743,2,3,2,4,2,4,3,24,1,1,2,1,1,1,0,1
341,0,21,2,5,3599,2,1,1,4,2,4,2,26,1,0,1,2,1,0,0,1
342,1,18,2,6,3213,4,3,1,1,2,3,0,25,1,0,1,1,1,0,0,1
343,1,18,2,10,4439,2,0,1,3,0,1,0,33,2,2,1,0,1,1,0,1
344,2,10,2,7,3949,2,3,1,3,1,1,1,37,1,2,1,2,2,0,0,1
345,3,15,4,6,1459,2,2,4,4,2,2,2,43,1,2,1,2,1,0,0,1
346,1,13,4,6,882,2,3,4,3,1,4,0,23,1,2,2,1,1,0,0,1
347,1,24,2,6,3758,4,4,1,4,2,4,3,23,1,0,1,3,1,0,0,1
348,3,6,3,10,1743,3,2,1,3,2,2,0,34,1,2,2,2,1,0,0,1
349,1,9,4,1,1136,0,0,4,3,2,3,3,32,1,1,2,1,2,0,0,2
350,3,9,2,3,1236,2,3,1,4,2,4,0,23,1,0,1,1,1,1,0,1
351,1,9,2,5,959,2,2,1,4,2,2,2,29,1,2,1,1,1,0,1,2
352,3,18,4,8,3229,1,4,2,3,2,4,3,38,1,2,1,0,1,1,0,1
353,0,12,0,6,6199,2,2,4,3,2,2,1,28,1,0,2,1,1,1,0,2
354,3,10,2,1,727,4,0,4,3,2,4,3,46,1,1,1,1,1,1,0,1
355,1,24,2,7,1246,2,3,4,3,2,2,0,23,0,2,1,2,1,0,0,2
356,3,12,4,6,2331,1,0,1,3,0,4,0,49,1,2,1,1,1,1,0,1
357,3,36,3,6,4463,2,2,4,3,2,2,2,26,1,2,2,0,1,1,0,2
358,3,12,2,6,776,2,2,4,1,2,2,0,28,1,2,1,1,1,0,0,1
359,0,30,2,5,2406,2,1,4,4,2,4,0,23,1,0,1,1,1,0,0,2
360,1,18,2,1,1239,1,2,4,3,2,4,3,61,1,1,1,1,1,0,0,1
361,2,12,2,6,3399,1,0,2,3,2,3,2,37,1,2,1,0,1,0,0,1
362,2,12,3,7,2247,2,2,2,4,2,2,2,36,0,2,2,1,1,1,0,1
363,3,6,2,5,1766,2,2,1,1,2,2,1,21,1,0,1,1,1,0,0,1
364,0,18,2,5,2473,2,4,4,3,2,1,2,25,1,2,1,3,1,0,0,2
365,3,12,2,10,1542,2,1,2,3,2,4,2,36,1,2,1,1,1,1,0,1
366,3,18,4,8,3850,2,1,3,3,2,1,2,27,1,2,2,1,1,0,0,1
367,0,18,2,5,3650,2,3,1,4,2,4,2,22,1,0,1,1,1,0,0,1
368,0,36,2,5,3446,2,0,4,3,2,2,2,42,1,2,1,1,2,0,0,2
369,1,18,2,5,3001,2,1,2,4,2,4,0,40,1,0,1,1,1,0,0,1
370,3,36,2,7,3079,1,2,4,3,2,4,0,36,1,2,1,1,1,0,0,1
371,3,18,4,6,6070,2,0,3,3,2,4,2,33,1,2,2,1,1,1,0,1
372,3,10,4,5,2146,2,3,1,4,2,3,0,23,1,0,2,1,1,0,0,1
373,3,60,4,7,13756,1,0,2,3,2,4,3,63,2,1,1,0,1,1,0,1
374,1,60,1,0,14782,3,0,3,4,2,4,3,60,2,1,2,0,1,1,0,2
375,0,48,1,10,7685,2,1,2,4,1,4,2,37,1,0,1,1,1,0,0,2
376,3,18,3,6,2320,2,4,2,1,2,3,0,34,1,2,2,1,1,0,0,1
377,3,7,3,6,846,1,0,3,3,2,4,3,36,1,1,1,1,1,0,0,1
378,1,36,2,7,14318,2,0,4,3,2,2,3,57,1,1,1,0,1,1,0,2
379,3,6,4,7,362,3,2,4,4,2,4,2,52,1,2,2,2,1,0,0,1
380,0,20,2,5,2212,1,1,4,3,2,4,2,39,1,2,1,1,1,1,0,1
381,1,18,2,8,12976,2,4,3,4,2,4,3,38,1,1,1,0,1,1,0,2
382,3,22,2,7,1283,1,1,4,4,2,4,1,25,1,0,1,1,1,0,0,1
383,2,12,2,7,1330,2,3,4,3,2,1,0,26,1,2,1,1,1,0,0,1
384,3,30,3,10,4272,3,2,2,3,2,2,1,26,1,2,2,2,1,0,0,1
385,3,18,4,6,2238,2,2,2,4,2,1,2,25,1,2,2,1,1,0,0,1
386,3,18,2,6,1126,1,3,4,4,2,2,0,21,1,0,1,1,1,1,0,1
387,1,18,4,5,7374,2,4,4,3,2,4,1,40,0,2,2,0,1,1,0,1
388,1,15,4,10,2326,4,2,2,3,2,4,2,27,2,2,1,1,1,0,0,1
389,3,9,2,10,1449,2,1,3,4,2,2,2,27,1,2,2,1,1,0,0,1
390,3,18,2,7,1820,2,2,2,1,2,2,1,30,1,2,1,0,1,1,0,1
391,1,12,2,5,983,0,3,1,4,2,4,0,19,1,0,1,2,1,0,0,1
392,0,36,2,7,3249,2,1,2,3,2,4,3,39,2,1,1,0,2,1,0,1
393,0,6,4,6,1957,2,1,1,4,2,4,2,31,1,2,1,1,1,0,0,1
394,3,9,4,5,2406,2,4,2,3,2,3,2,31,1,2,1,0,1,0,0,1
395,1,39,3,1,11760,3,1,2,3,2,3,3,32,1,0,1,1,1,1,0,1
396,0,12,2,5,2578,2,4,3,4,2,4,3,55,1,1,1,0,1,0,0,1
397,0,36,4,5,2348,2,2,3,1,2,2,1,46,1,2,2,1,1,1,0,1
398,1,12,2,7,1223,2,0,1,2,2,1,0,46,1,0,2,1,1,0,0,2
399,3,24,4,6,1516,0,2,4,4,2,1,0,43,1,2,2,2,1,0,0,1
400,3,18,2,6,1473,2,3,3,1,2,4,0,39,1,2,1,1,1,1,0,1
401,1,18,4,10,1887,1,2,4,1,2,4,0,28,2,2,2,1,1,0,0,1
402,3,24,3,10,8648,2,3,2,3,2,2,2,27,2,2,2,1,1,1,0,2
403,3,14,3,7,802,2,2,4,3,2,2,2,27,1,2,2,2,1,0,0,1
404,1,18,3,7,2899,1,0,4,3,2,4,2,43,1,2,1,1,2,0,0,1
405,1,24,2,6,2039,2,3,1,1,2,1,1,22,1,2,1,1,1,1,0,2
406,3,24,4,8,2197,1,1,4,3,2,4,2,43,1,2,2,1,2,1,0,1
407,0,15,2,6,1053,2,3,4,1,2,2,0,27,1,2,1,1,1,0,1,1
408,3,24,2,6,3235,4,0,3,2,2,2,2,26,1,2,1,0,1,1,0,1
409,2,12,4,7,939,4,1,4,1,2,2,0,28,1,2,3,1,1,1,0,2
410,1,24,2,6,1967,2,0,4,4,2,4,2,20,1,2,1,1,1,1,0,1
411,3,33,4,8,7253,2,1,3,3,2,2,2,35,1,2,2,0,1,1,0,1
412,3,12,4,10,2292,2,4,4,3,2,2,2,42,0,2,2,0,1,1,0,2
413,3,10,2,7,1597,4,2,3,3,2,2,3,40,1,0,1,2,2,0,1,1
414,0,24,2,7,1381,1,2,4,4,2,2,1,35,1,2,1,1,1,0,0,2
415,3,36,4,8,5842,2,0,2,3,2,2,1,35,1,2,2,1,2,1,0,1
416,0,12,2,7,2579,2,3,4,3,2,1,0,33,1,2,1,2,2,0,0,2
417,0,18,3,1,8471,1,2,1,4,2,2,2,23,1,0,2,1,1,1,0,1
418,3,21,2,7,2782,4,1,1,4,2,2,2,31,2,2,1,0,1,0,0,1
419,1,18,2,7,1042,1,2,4,4,2,2,1,33,1,2,1,1,1,0,0,2
420,3,15,2,7,3186,0,1,2,4,2,3,2,20,1,0,1,1,1,0,0,1
421,1,12,2,8,2028,1,2,4,3,2,2,2,30,1,2,1,1,1,0,0,1
422,1,12,4,7,958,2,1,2,3,2,3,0,47,1,2,2,2,2,0,0,1
423,3,21,3,5,1591,3,1,4,3,2,3,0,34,1,2,2,0,1,0,0,1
424,1,12,2,5,2762,1,0,1,4,2,2,1,25,2,2,1,1,1,1,0,2
425,1,18,2,8,2779,2,2,1,1,2,3,2,21,1,0,1,1,1,1,0,1
426,3,28,4,6,2743,2,0,4,3,2,2,2,29,1,2,2,1,1,0,0,1
427,3,18,4,6,1149,0,2,4,3,2,3,0,46,1,2,2,1,1,0,0,1
428,3,9,2,5,1313,2,0,1,3,2,4,2,20,1,2,1,1,1,0,0,1
429,0,18,4,4,1190,2,4,2,4,2,4,3,55,1,1,3,3,2,0,0,2
430,3,5,2,10,3448,2,1,1,3,2,4,0,74,1,2,1,2,1,0,0,1
431,1,24,2,0,11328,2,2,2,3,0,3,2,29,2,2,2,0,1,1,0,2
432,0,6,4,5,1872,2,4,4,3,2,4,3,36,1,1,3,0,1,1,0,1
433,3,24,4,4,2058,2,2,4,2,2,2,0,33,1,2,2,1,1,1,0,1
434,0,9,2,5,2136,2,2,3,3,2,2,0,25,1,2,1,1,1,0,0,1
435,1,12,2,6,1484,1,2,2,1,2,1,0,25,1,2,1,1,1,1,0,2
436,3,6,2,4,660,4,1,2,1,2,4,0,23,1,0,1,2,1,0,0,1
437,3,24,4,7,1287,0,0,4,4,2,4,0,37,1,2,2,1,1,1,0,1
438,0,42,4,4,3394,2,4,4,3,0,4,2,65,1,2,2,3,1,0,0,1
439,2,12,1,10,609,2,3,4,4,2,1,0,26,1,2,1,3,1,0,0,2
440,3,12,2,7,1884,2,0,4,3,2,4,2,39,1,2,1,0,1,1,0,1
441,0,12,2,5,1620,2,2,2,4,0,3,1,30,1,2,1,1,1,0,0,1
442,1,20,3,0,2629,2,2,2,3,2,3,2,29,2,2,2,1,1,1,0,1
443,3,12,2,1,719,2,0,4,3,2,4,2,41,2,2,1,2,2,0,0,2
444,1,48,4,5,5096,2,2,2,4,2,3,2,30,1,2,1,0,1,1,0,2
445,3,9,4,1,1244,1,0,4,4,2,4,1,41,1,0,2,2,1,0,0,1
446,0,36,2,7,1842,2,3,4,4,2,4,2,34,1,2,1,1,1,1,0,2
447,1,7,2,6,2576,2,2,2,3,1,2,0,35,1,2,1,1,1,0,0,1
448,2,12,2,5,1424,1,0,3,4,2,4,0,55,1,2,1,0,1,1,0,1
449,1,15,3,4,1512,0,2,3,1,2,3,1,61,0,2,2,1,1,0,0,2
450,3,36,4,8,11054,1,2,4,3,2,2,2,30,1,2,1,0,1,1,0,1
451,3,6,2,6,518,2,2,3,4,2,1,0,29,1,2,1,1,1,0,0,1
452,3,12,0,5,2759,2,0,2,3,2,4,1,34,1,2,2,1,1,0,0,1
453,3,24,2,8,2670,2,0,4,3,2,4,2,35,1,2,1,0,1,1,0,1
454,0,24,2,7,4817,2,1,2,3,0,3,1,31,1,2,1,1,1,1,0,2
455,3,24,2,8,2679,2,3,4,4,2,1,3,29,1,2,1,0,1,1,0,1
456,0,11,4,7,3905,2,2,2,3,2,2,0,36,1,0,2,1,2,0,0,1
457,0,12,2,8,3386,2,0,3,3,2,4,3,35,1,1,1,1,1,1,0,2
458,0,6,2,3,343,2,3,4,4,2,1,0,27,1,2,1,1,1,0,0,1
459,3,18,2,6,4594,2,3,3,3,2,2,2,32,1,2,1,1,1,1,0,1
460,0,36,2,5,3620,2,2,1,3,1,2,1,37,1,2,1,1,2,0,0,1
461,0,15,2,7,1721,2,3,2,3,2,3,0,36,1,2,1,1,1,0,0,1
462,1,12,2,5,3017,2,3,3,4,2,1,0,34,1,0,1,0,1,0,0,1
463,1,12,2,9,754,1,0,4,3,2,4,1,38,1,2,2,1,1,0,0,1
464,3,18,2,10,1950,2,1,4,3,2,1,2,34,0,2,2,1,1,1,0,1
465,0,24,2,8,2924,2,2,3,3,1,4,3,63,2,2,1,1,2,1,0,1
466,0,24,3,6,1659,2,3,4,4,2,2,2,29,1,0,1,2,1,1,0,2
467,3,48,3,6,7238,1,0,3,3,2,3,2,32,2,2,2,1,2,0,0,1
468,3,33,3,10,2764,2,2,2,4,2,2,2,26,1,2,2,1,1,1,0,1
469,3,24,3,8,4679,2,1,3,3,2,3,2,35,1,2,2,2,1,1,0,1
470,1,24,2,6,3092,3,3,3,1,2,2,2,22,1,0,1,1,1,1,0,2
471,0,6,2,1,448,2,3,4,4,2,4,1,23,1,2,1,1,1,0,0,2
472,0,9,2,7,654,2,2,4,3,2,3,2,28,1,2,1,2,1,0,0,2
473,3,6,2,9,1238,1,4,4,3,2,4,1,36,1,2,1,0,2,1,0,1
474,1,18,4,6,1245,2,2,4,1,2,2,2,33,1,2,1,1,1,0,0,2
475,0,18,0,5,3114,2,3,1,4,2,4,1,26,1,0,1,1,1,0,0,2
476,3,39,2,8,2569,4,2,4,3,2,4,2,24,1,2,1,1,1,0,0,1
477,2,24,2,6,5152,2,1,4,3,2,2,2,25,2,2,1,1,1,0,0,1
478,1,12,2,10,1037,3,1,3,3,2,4,0,39,1,2,1,2,1,0,0,1
479,0,15,4,5,1478,2,0,4,3,2,4,2,44,1,2,2,1,2,1,0,1
480,1,12,4,6,3573,2,2,1,4,2,1,0,23,1,2,1,2,1,0,0,1
481,1,24,2,7,1201,2,3,4,3,2,1,1,26,1,2,1,1,1,0,0,1
482,0,30,2,5,3622,0,0,4,4,2,4,1,57,1,0,2,1,1,1,0,1
483,3,15,3,5,960,0,1,3,4,2,2,1,30,1,2,2,1,1,0,0,1
484,3,12,4,7,1163,4,2,4,3,2,4,0,44,1,2,1,1,1,1,0,1
485,1,6,3,7,1209,2,4,4,3,2,4,1,47,1,2,1,0,1,1,0,2
486,3,12,2,6,3077,2,2,2,3,2,4,2,52,1,2,1,1,1,1,0,1
487,3,24,2,7,3757,2,0,4,4,0,4,3,62,1,1,1,1,1,1,0,1
488,3,10,2,7,1418,3,2,3,3,2,2,0,35,1,0,1,2,1,0,1,1
489,3,6,2,7,3518,2,2,2,3,1,3,1,26,1,0,1,1,1,0,0,1
490,3,12,4,6,1934,2,0,2,3,2,2,3,26,1,2,2,1,1,0,0,1
491,1,27,0,10,8318,2,0,2,4,2,4,3,42,1,1,2,0,1,1,0,2
492,3,6,4,6,1237,3,2,1,4,2,1,1,27,1,2,2,1,1,0,0,1
493,1,6,2,6,368,1,0,4,3,2,4,1,38,1,2,1,1,1,0,0,1
494,0,12,4,7,2122,2,2,3,3,2,2,0,39,1,0,2,2,2,0,1,1
495,0,24,2,5,2996,1,2,2,1,2,4,2,20,1,2,1,1,1,0,0,2
496,1,36,2,5,9034,3,3,4,3,0,1,3,29,1,0,1,0,1,1,0,2
497,3,24,4,5,1585,2,1,4,3,2,3,1,40,1,2,2,1,1,0,0,1
498,1,18,2,6,1301,2,0,4,1,1,2,0,32,1,2,1,2,1,0,0,1
499,2,6,4,7,1323,3,0,2,2,2,4,2,28,1,2,2,1,2,1,0,1
500,0,24,2,7,3123,2,3,4,4,2,1,1,27,1,2,1,1,1,0,0,2
501,0,36,2,8,5493,2,0,2,3,2,4,3,42,1,1,1,1,2,0,0,1
502,2,9,2,6,1126,3,0,2,2,2,4,0,49,1,2,1,1,1,0,0,1
503,1,24,4,6,1216,3,3,4,3,2,4,3,38,2,2,2,1,2,0,0,2
504,0,24,2,7,1207,2,3,4,4,2,4,1,24,1,0,1,1,1,0,0,2
505,3,10,2,7,1309,1,2,4,3,1,4,1,27,1,2,1,2,1,0,0,2
506,2,15,4,8,2360,4,2,2,3,2,2,2,36,1,2,1,1,1,1,0,1
507,1,15,1,7,6850,3,4,1,3,2,2,1,34,1,2,1,0,2,1,0,2
508,3,24,2,6,1413,2,2,4,1,2,2,1,28,1,2,1,1,1,0,0,1
509,3,39,2,8,8588,3,0,4,3,2,2,2,45,1,2,1,0,1,1,0,1
510,0,12,2,7,759,2,1,4,3,2,2,0,26,1,2,1,1,1,0,0,2
511,3,36,2,8,4686,2,2,2,3,2,2,3,32,1,1,1,0,1,1,0,1
512,2,15,2,10,2687,2,1,2,3,2,4,1,26,1,0,1,1,1,1,0,1
513,1,12,3,6,585,2,2,4,1,0,4,0,20,1,0,2,1,1,0,0,1
514,3,24,2,7,2255,1,3,4,3,2,1,1,54,1,2,1,1,1,0,0,1
515,0,6,4,7,609,2,1,4,4,2,3,1,37,1,2,2,1,1,0,1,1
516,0,6,4,7,1361,2,3,2,3,2,4,0,40,1,2,1,2,2,0,1,1
517,3,36,4,5,7127,2,3,2,4,2,4,1,23,1,0,2,1,1,1,0,2
518,0,6,2,7,1203,3,0,3,3,2,2,1,43,1,2,1,1,1,1,0,1
519,3,6,4,6,700,1,0,4,3,2,4,3,36,1,1,2,1,1,0,0,1
520,3,24,4,4,5507,2,0,3,3,2,4,3,44,1,1,2,1,1,0,0,1
521,0,18,2,6,3190,2,2,2,4,2,2,0,24,1,2,1,1,1,0,0,2
522,0,48,0,5,7119,2,2,3,3,2,4,3,53,1,1,2,1,2,0,0,2
523,3,24,2,8,3488,3,1,3,4,2,4,2,23,1,2,1,1,1,0,0,1
524,1,18,2,6,1113,2,2,4,4,1,4,0,26,1,2,1,2,2,0,0,1
525,1,26,2,8,7966,2,3,2,3,2,3,2,30,1,2,2,1,1,0,0,1
526,3,15,4,1,1532,3,2,4,4,2,3,2,31,1,2,1,1,1,0,0,1
527,3,4,4,6,1503,2,1,2,3,2,1,0,42,1,2,2,2,2,0,0,1
528,0,36,2,6,2302,2,2,4,2,2,4,2,31,1,0,1,1,1,0,0,2
529,0,6,2,7,662,2,3,3,3,2,4,0,41,1,2,1,2,2,1,0,1
530,1,36,2,1,2273,2,1,3,3,2,1,2,32,1,2,2,1,2,0,0,1
531,1,15,2,7,2631,3,2,2,4,2,4,2,28,1,0,2,1,1,1,0,2
532,3,12,3,8,1503,2,2,4,1,2,4,0,41,1,0,1,1,1,0,0,1
533,3,24,2,6,1311,3,1,4,1,2,3,1,26,1,2,1,1,1,1,0,1
534,3,24,2,6,3105,1,3,4,3,2,2,2,25,1,2,2,1,1,0,0,1
535,2,21,4,1,2319,2,3,2,2,2,1,2,33,1,0,1,1,1,0,0,2
536,0,6,2,7,1374,1,4,4,4,2,3,1,75,1,2,1,0,1,1,0,1
537,1,18,4,5,3612,2,0,3,4,2,4,1,37,1,2,1,1,1,1,0,1
538,0,48,2,7,7763,2,0,4,3,2,4,3,42,2,1,1,0,1,0,0,2
539,2,18,2,5,3049,2,3,1,4,2,1,1,45,0,2,1,2,1,0,0,1
540,1,12,2,6,1534,2,3,1,1,2,1,0,23,1,0,1,1,1,0,0,2
541,3,24,3,7,2032,2,0,4,3,2,4,3,60,1,1,2,1,1,1,0,1
542,0,30,2,5,6350,1,0,4,3,2,4,1,31,1,2,1,1,1,0,0,2
543,2,18,2,5,2864,2,2,2,3,2,1,0,34,1,2,1,2,2,0,0,2
544,3,12,4,7,1255,2,0,4,3,2,4,0,61,1,2,2,2,1,0,0,1
545,0,24,3,7,1333,2,4,4,3,2,2,0,43,1,1,2,1,2,0,0,2
546,3,24,4,7,2022,2,2,4,4,2,4,2,37,1,2,1,1,1,1,0,1
547,3,24,2,6,1552,2,1,3,3,2,1,2,32,2,2,1,1,2,0,0,1
548,0,12,1,6,626,2,2,4,4,2,4,0,24,2,2,1,2,1,0,0,2
549,3,48,4,8,8858,1,1,2,3,2,1,3,35,1,1,2,1,1,1,0,1
550,3,12,4,4,996,1,1,4,4,2,4,0,23,1,2,2,1,1,0,0,1
551,3,6,1,6,1750,4,0,2,3,2,4,1,45,2,2,1,2,2,0,0,1
552,0,48,2,6,6999,2,1,1,1,1,1,0,34,1,2,2,1,1,1,0,2
553,1,12,4,7,1995,3,3,4,3,2,1,2,27,1,2,1,1,1,0,0,1
554,1,9,2,1,1199,2,1,4,4,2,4,1,67,1,2,2,0,1,1,0,1
555,1,12,2,6,1331,2,3,2,3,2,1,2,22,0,2,1,1,1,0,0,2
556,1,18,0,7,2278,3,3,3,4,2,3,2,28,1,2,2,1,1,0,0,2
557,3,21,0,7,5003,1,2,1,4,2,4,1,29,2,2,2,1,1,1,0,2
558,0,24,1,5,3552,2,1,3,3,2,4,2,27,2,2,1,1,1,0,0,2
559,1,18,4,5,1928,2,3,2,3,2,2,0,31,1,2,2,2,1,0,0,2
560,0,24,2,8,2964,1,0,4,3,2,4,3,49,2,1,1,1,2,1,0,1
561,0,24,1,6,1546,2,1,4,3,1,4,2,24,2,0,1,2,1,0,0,2
562,2,6,3,6,683,2,3,2,4,2,1,1,29,2,2,1,1,1,0,0,1
563,1,36,2,7,12389,1,2,1,3,2,4,3,37,1,1,1,1,1,1,0,2
564,1,24,3,10,4712,1,2,4,3,2,2,1,37,2,2,2,0,1,1,0,1
565,1,24,3,6,1553,3,1,3,4,2,2,1,23,1,0,2,1,1,1,0,1
566,0,12,2,7,1372,2,1,2,2,2,3,2,36,1,2,1,1,1,0,0,2
567,3,24,4,6,2578,0,0,2,3,2,2,2,34,1,2,1,1,1,0,0,1
568,1,48,2,6,3979,1,1,4,3,2,1,2,41,1,2,2,1,2,1,0,1
569,0,48,2,6,6758,2,2,3,4,2,2,2,31,1,2,1,1,1,1,0,2
570,0,24,2,5,3234,2,3,4,4,2,4,0,23,1,0,1,2,1,1,0,2
571,3,30,4,6,5954,2,1,3,3,0,2,2,38,1,2,1,1,1,0,0,1
572,3,24,2,8,5433,1,4,2,4,2,4,1,26,1,0,1,0,1,1,0,1
573,0,15,2,10,806,2,2,4,4,2,4,1,22,1,2,1,2,1,0,0,1
574,1,9,2,6,1082,2,0,4,3,2,4,2,27,1,2,2,2,1,0,0,1
575,3,15,4,5,2788,2,1,2,4,0,3,2,24,2,2,2,1,1,0,0,1
576,1,12,2,6,2930,2,1,2,4,2,1,0,27,1,2,1,1,1,0,0,1
577,3,24,4,1,1927,1,2,3,4,2,2,2,33,1,2,2,1,1,1,0,1
578,1,36,4,7,2820,2,3,4,2,2,4,2,27,1,2,2,1,1,0,0,2
579,3,24,2,9,937,2,3,4,1,2,3,2,27,1,2,2,2,1,0,0,1
580,1,18,4,7,1056,2,0,3,3,1,3,0,30,2,2,2,1,1,0,0,2
581,1,12,4,7,3124,2,3,1,3,2,3,0,49,2,2,2,2,2,0,0,1
582,3,9,2,5,1388,2,2,4,4,2,2,0,26,1,0,1,1,1,0,0,1
583,1,36,2,4,2384,2,3,4,3,2,1,3,33,1,0,1,2,1,0,0,2
584,3,12,2,7,2133,1,0,4,4,2,4,3,52,1,1,1,0,1,1,0,1
585,0,18,2,5,2039,2,2,1,4,2,4,0,20,2,0,1,1,1,0,0,2
586,0,9,4,7,2799,2,2,2,3,2,2,0,36,1,0,2,1,2,0,0,1
587,0,12,2,5,1289,2,2,4,3,1,1,1,21,1,2,1,2,1,0,0,1
588,0,18,2,3,1217,2,2,4,1,2,3,0,47,1,2,1,2,1,1,0,2
589,0,12,4,5,2246,2,0,3,3,2,3,1,60,1,2,2,1,1,0,0,2
590,0,12,4,6,385,2,1,4,4,2,3,0,58,1,2,4,2,1,1,0,1
591,1,24,3,7,1965,1,2,4,4,2,4,2,42,1,0,2,1,1,1,0,1
592,3,21,2,10,1572,0,0,4,4,2,4,0,36,2,2,1,2,1,0,0,1
593,1,24,2,7,2718,2,2,3,4,2,4,1,20,1,0,1,2,1,1,0,2
594,0,24,1,0,1358,1,0,4,3,2,3,2,40,0,2,1,0,1,1,0,2
595,1,6,1,7,931,3,3,1,4,2,1,1,32,0,2,1,2,1,0,0,2
596,0,24,2,7,1442,2,1,4,4,2,4,2,23,1,0,2,1,1,0,0,2
597,1,24,0,10,4241,2,2,1,3,2,4,0,36,1,2,3,2,1,1,0,2
598,3,18,4,7,2775,2,1,2,3,2,2,1,31,2,2,2,1,1,0,0,2
599,3,24,3,10,3863,2,2,1,3,2,2,3,32,1,1,1,1,1,0,0,1
600,1,7,2,6,2329,2,3,1,4,1,1,0,45,1,2,1,1,1,0,0,1
601,1,9,2,5,918,2,2,4,4,2,1,1,30,1,2,1,1,1,0,0,2
602,1,24,1,1,1837,2,1,4,4,2,4,3,34,2,1,1,2,1,0,0,2
603,3,36,2,5,3349,2,2,4,4,2,2,2,28,1,2,1,0,1,1,0,2
604,2,10,2,5,1275,2,3,4,4,2,2,1,23,1,2,1,1,1,0,0,1
605,0,24,1,5,2828,4,2,4,3,2,4,0,22,0,2,1,1,1,1,0,1
606,3,24,4,10,4526,2,2,3,3,2,2,0,74,1,2,1,0,1,1,0,1
607,1,36,2,6,2671,3,2,4,4,0,4,3,50,1,1,1,1,1,0,0,2
608,3,18,2,6,2051,2,3,4,3,2,1,0,33,1,2,1,1,1,0,0,1
609,3,15,2,8,1300,1,0,4,3,2,4,3,45,2,1,1,1,2,0,0,1
610,0,12,2,3,741,3,4,4,4,2,3,1,22,1,2,1,1,1,0,0,2
611,2,10,2,7,1240,3,0,1,4,2,4,3,48,1,1,1,2,2,0,0,2
612,0,21,2,6,3357,0,3,4,4,2,2,2,29,2,2,1,1,1,0,0,1
613,0,24,1,8,3632,2,2,1,4,1,4,2,22,2,0,1,1,1,0,1,1
614,3,18,3,5,1808,2,1,4,4,2,1,0,22,1,2,1,1,1,0,0,2
615,1,48,0,10,12204,1,2,2,3,2,2,2,48,2,2,1,0,1,1,0,1
